simulation_number,delay,leader,commit,commit_time
91,0.28,3,True,2.15
92,0.86,4,False,0
93,0.15,1,True,2.14
94,0.68,2,True,2.15
95,0.25,3,True,2.15
96,0.49,4,True,2.14
97,0.01,1,True,2.14
98,1.25,2,True,2.15
99,0.09,3,True,2.15
100,0.28,4,True,2.14
101,1.32,1,True,2.14
102,0.94,2,True,2.14
103,0.89,3,True,2.15
104,0.68,4,False,0
105,0.82,1,True,2.14
106,1.36,2,True,2.14
107,0.29,3,True,2.15
108,0.52,4,True,2.14
109,1.35,1,True,2.14
110,1.04,2,True,2.15
111,1.31,3,True,2.15
112,0.63,4,False,0
113,0.6,1,True,2.15
114,1.34,2,True,2.14
115,0.19,3,True,2.15
116,0.56,4,False,0
117,0.66,1,True,2.14
118,0.11,2,True,2.14
119,0.43,3,True,2.14
120,0.65,4,False,0
121,0.26,1,True,2.15
122,0.77,2,True,2.15
123,0.21,3,True,2.14
124,0.93,4,False,0
125,0.49,1,True,2.16
126,0.1,2,True,2.14
127,0.3,3,True,2.14
128,1.29,4,False,0
129,0.47,1,True,2.15
130,0.29,2,True,2.14
131,0.54,3,True,2.15
132,0.38,4,True,2.15
133,0.47,1,True,2.14
134,0.02,2,True,2.14
135,0.45,3,True,2.14
136,0.47,4,True,2.14
137,0.4,1,True,2.15
138,0.15,2,True,2.14
139,0.28,3,True,2.14
140,0.77,4,False,0
141,1.04,1,True,2.15
142,0.31,2,True,2.14
143,0.12,3,True,2.14
144,0.44,4,True,2.15
145,1.67,1,True,2.15
146,0.66,2,True,2.14
147,0.64,3,True,2.15
148,0.78,4,False,0
149,0.92,1,True,2.15
150,0.32,2,True,2.15
151,0.05,3,True,2.14
152,1.2,4,False,0
153,0.52,1,True,2.14
154,0.58,2,True,2.15
155,0.07,3,True,2.15
156,0.46,4,True,2.15
157,0.79,1,True,2.14
158,0.76,2,True,2.14
159,0.8,3,True,2.15
160,0.31,4,True,2.14
161,0.35,1,True,2.14
162,1.35,2,True,2.14
163,0.66,3,True,2.14
164,0.06,4,True,2.15
165,0.86,1,True,2.14
166,0.59,2,True,2.14
167,0.7,3,True,2.15
168,1.08,4,False,0
169,0.83,1,True,2.14
170,0.22,2,True,2.15
171,0.64,3,True,2.14
172,0.22,4,True,2.14
173,0.6,1,True,2.14
174,0.46,2,True,2.15
175,0.72,3,True,2.14
176,0.48,4,True,2.15
177,0.56,1,True,2.14
178,0.48,2,True,2.14
179,0.32,3,True,2.14
180,0.01,4,True,2.17
181,0.25,1,True,2.14
182,0.96,2,True,2.14
183,0.45,3,True,2.15
184,1.56,4,False,0
185,0.44,1,True,2.14
186,1.12,2,True,2.15
187,0.77,3,True,2.13
188,0.04,4,True,2.14
189,0.52,1,True,2.15
190,1.08,2,True,2.17
191,0.9,3,True,2.15
192,0.19,4,True,2.14
193,0.03,1,True,2.15
194,0.82,2,True,2.14
195,0.37,3,True,2.14
196,0.12,4,True,2.15
197,0.54,1,True,2.15
198,0.58,2,True,2.15
199,1.51,3,True,2.14
200,0.94,4,False,0
201,0.26,1,True,2.14
202,0.17,2,True,2.15
203,0.77,3,True,2.15
204,0.46,4,True,2.14
205,0.45,1,True,2.15
206,1.13,2,True,2.14
207,0.02,3,True,2.15
208,0.52,4,True,2.13
209,0.2,1,True,2.15
210,0.07,2,True,2.14
211,0.64,3,True,2.15
212,0.22,4,True,2.14
213,0.55,1,True,2.15
214,0.33,2,True,2.14
215,0.66,3,True,2.14
216,0.29,4,True,2.15
217,0.01,1,True,2.14
218,0.27,2,True,2.14
219,1.58,3,True,2.14
220,0.03,4,True,2.14
221,0.67,1,True,2.13
222,0.24,2,True,2.15
223,0.32,3,True,2.14
224,0.34,4,True,2.14
225,1.08,1,True,2.14
226,0.04,2,True,2.14
227,0.11,3,True,2.15
228,0.16,4,True,2.15
229,0.42,1,True,2.15
230,0.17,2,True,2.14
231,1.0,3,True,2.15
232,0.35,4,True,2.15
233,0.38,1,True,2.15
234,0.29,2,True,2.17
235,0.81,3,True,2.15
236,0.55,4,False,0
237,1.05,1,True,2.14
238,1.45,2,True,2.14
239,0.3,3,True,2.15
240,0.47,4,True,2.16
241,0.45,1,True,2.14
242,0.28,2,True,2.14
243,0.09,3,True,2.14
244,0.21,4,True,2.14
245,0.22,1,True,2.15
246,1.17,2,True,2.14
247,0.81,3,True,2.14
248,0.76,4,False,0
249,0.57,1,True,2.14
250,1.03,2,True,2.15
251,0.36,3,True,2.15
252,0.4,4,True,2.14
253,0.1,1,True,2.14
254,0.22,2,True,2.15
255,0.48,3,True,2.14
256,0.49,4,True,2.14
257,0.51,1,True,2.14
258,0.97,2,True,2.15
259,1.11,3,True,2.14
260,0.43,4,True,2.15
261,0.83,1,True,2.14
262,0.35,2,True,2.14
263,0.42,3,True,2.14
264,0.04,4,True,2.14
265,1.36,1,True,2.14
266,0.13,2,True,2.15
267,0.37,3,True,2.14
268,0.06,4,True,2.15
269,0.22,1,True,2.15
270,0.07,2,True,2.14
271,0.28,3,True,2.14
272,1.94,4,False,0
273,1.37,1,True,2.15
274,0.27,2,True,2.15
275,0.46,3,True,2.14
276,0.27,4,True,2.15
277,0.35,1,True,2.15
278,0.08,2,True,2.14
279,1.42,3,True,2.15
280,1.45,4,False,0
281,0.08,1,True,2.14
282,0.71,2,True,2.14
283,0.48,3,True,2.15
284,1.08,4,False,0
285,0.2,1,True,2.14
286,0.43,2,True,2.14
287,0.73,3,True,2.14
288,0.85,4,False,0
289,0.48,1,True,2.15
290,0.91,2,True,2.14
291,0.44,3,True,2.14
292,0.34,4,True,2.14
293,1.61,1,True,2.14
294,0.74,2,True,2.14
295,0.1,3,True,2.14
296,0.8,4,False,0
297,0.07,1,True,2.14
298,0.41,2,True,2.14
299,0.28,3,True,2.15
300,0.26,4,True,2.15
301,0.91,1,True,2.14
302,1.16,2,True,2.14
303,0.08,3,True,2.14
304,0.48,4,True,2.15
305,0.47,1,True,2.15
306,0.32,2,True,2.15
307,0.93,3,True,2.16
308,0.94,4,False,0
309,0.49,1,True,2.15
310,0.11,2,True,2.14
311,0.09,3,True,2.14
312,0.75,4,False,0
313,0.79,1,True,2.14
314,0.51,2,True,2.14
315,0.27,3,True,2.15
316,0.07,4,True,2.14
317,0.03,1,True,2.15
318,0.2,2,True,2.14
319,0.04,3,True,2.14
320,0.08,4,True,2.15
321,0.5,1,True,2.14
322,0.57,2,True,2.14
323,0.19,3,True,2.15
324,0.62,4,False,0
325,0.81,1,True,2.14
326,0.22,2,True,2.15
327,0.11,3,True,2.15
328,1.58,4,False,0
329,0.49,1,True,2.14
330,0.66,2,True,2.15
331,0.52,3,True,2.15
332,0.83,4,False,0
333,0.54,1,True,2.15
334,0.83,2,True,2.15
335,1.86,3,True,2.14
336,0.42,4,True,2.15
337,1.23,1,True,2.14
338,0.32,2,True,2.15
339,0.48,3,True,2.15
340,1.16,4,False,0
341,0.75,1,True,2.15
342,0.32,2,True,2.15
343,0.48,3,True,2.15
344,0.85,4,False,0
345,0.31,1,True,2.14
346,0.2,2,True,2.15
347,0.26,3,True,2.15
348,0.11,4,True,2.14
349,0.4,1,True,2.14
350,0.24,2,True,2.14
351,0.53,3,True,2.15
352,1.01,4,False,0
353,0.96,1,True,2.14
354,0.48,2,True,2.14
355,0.46,3,True,2.14
356,0.36,4,True,2.15
357,1.29,1,True,2.14
358,0.33,2,True,2.14
359,0.34,3,True,2.14
360,0.43,4,True,2.15
361,0.49,1,True,2.15
362,0.0,2,True,2.14
363,0.65,3,True,2.15
364,0.24,4,True,2.14
365,0.01,1,True,2.15
366,0.11,2,True,2.14
367,0.13,3,True,2.15
368,0.28,4,True,2.14
369,0.19,1,True,2.14
370,0.79,2,True,2.14
371,0.2,3,True,2.15
372,0.7,4,False,0
373,0.59,1,True,2.14
374,0.17,2,True,2.15
375,0.03,3,True,2.14
376,0.35,4,True,2.14
377,0.45,1,True,2.14
378,1.1,2,True,2.15
379,0.14,3,True,2.15
380,0.62,4,False,0
381,1.19,1,True,2.14
382,0.27,2,True,2.14
383,1.58,3,True,2.15
384,0.72,4,False,0
385,0.03,1,True,2.14
386,1.16,2,True,2.13
387,0.69,3,True,2.14
388,1.03,4,False,0
389,1.15,1,True,2.15
390,0.11,2,True,2.14
391,0.4,3,True,2.15
392,0.16,4,True,2.17
393,0.25,1,True,2.15
394,1.13,2,True,2.15
395,0.2,3,True,2.15
396,0.53,4,False,0
397,0.6,1,True,2.14
398,0.8,2,True,2.14
399,1.03,3,True,2.15
400,0.6,4,False,0
401,0.42,1,True,2.15
402,0.78,2,True,2.14
403,0.54,3,True,2.14
404,0.25,4,True,2.15
405,1.24,1,True,2.14
406,0.25,2,True,2.15
407,0.57,3,True,2.15
408,0.04,4,True,2.15
409,0.13,1,True,2.15
410,0.57,2,True,2.15
411,1.01,3,True,2.14
412,0.56,4,False,0
413,0.22,1,True,2.14
414,0.16,2,True,2.14
415,1.21,3,True,2.14
416,0.48,4,True,2.15
417,0.26,1,True,2.15
418,0.1,2,True,2.14
419,1.06,3,True,2.14
420,1.2,4,False,0
421,0.65,1,True,2.14
422,0.41,2,True,2.14
423,1.47,3,True,2.14
424,0.09,4,True,2.14
425,0.09,1,True,2.15
426,0.07,2,True,2.14
427,0.66,3,True,2.14
428,1.92,4,False,0
429,0.4,1,True,2.14
430,0.19,2,True,2.15
431,0.33,3,True,2.15
432,0.99,4,False,0
433,0.61,1,True,2.15
434,0.19,2,True,2.14
435,0.68,3,True,2.15
436,0.22,4,True,2.15
437,0.58,1,True,2.14
438,0.0,2,True,2.14
439,0.56,3,True,2.15
440,0.05,4,True,2.14
441,0.28,1,True,2.15
442,0.81,2,True,2.14
443,0.06,3,True,2.14
444,0.14,4,True,2.14
445,0.61,1,True,2.15
446,0.08,2,True,2.14
447,0.32,3,True,2.14
448,0.68,4,False,0
449,0.55,1,True,2.14
450,0.08,2,True,2.14
451,0.74,3,True,2.14
452,0.57,4,False,0
453,0.32,1,True,2.14
454,0.2,2,True,2.14
455,0.24,3,True,2.14
456,1.41,4,False,0
457,0.33,1,True,2.14
458,1.54,2,True,2.14
459,0.14,3,True,2.15
460,0.04,4,True,2.15
461,0.36,1,True,2.14
462,0.69,2,True,2.15
463,0.31,3,True,2.15
464,0.13,4,True,2.15
465,0.35,1,True,2.15
466,1.69,2,True,2.15
467,0.67,3,True,2.15
468,0.56,4,False,0
469,1.6,1,True,2.15
470,0.18,2,True,2.15
471,1.41,3,True,2.14
472,0.38,4,True,2.15
473,0.19,1,True,2.15
474,0.5,2,True,2.14
475,1.22,3,True,2.14
476,0.7,4,False,0
477,0.92,1,True,2.15
478,0.62,2,True,2.14
479,0.79,3,True,2.15
480,0.35,4,True,2.14
481,0.54,1,True,2.14
482,0.72,2,True,2.14
483,0.64,3,True,2.13
484,0.3,4,True,2.16
485,0.6,1,True,2.14
486,1.86,2,True,2.15
487,1.06,3,True,2.14
488,0.39,4,True,2.14
489,0.03,1,True,2.14
490,0.15,2,True,2.14
491,0.72,3,True,2.14
492,0.24,4,True,2.14
493,0.77,1,True,2.15
494,0.91,2,True,2.15
495,1.89,3,True,2.14
496,0.05,4,True,2.15
497,0.46,1,True,2.14
498,0.36,2,True,2.14
499,0.71,3,True,2.14
500,0.05,4,True,2.14
501,0.27,1,True,2.15
502,0.02,2,True,2.14
503,0.77,3,True,2.14
504,0.16,4,True,2.15
505,0.24,1,True,2.15
506,0.41,2,True,2.14
507,1.14,3,True,2.14
508,1.1,4,False,0
509,0.83,1,True,2.15
510,0.91,2,True,2.15
511,0.63,3,True,2.15
512,0.96,4,False,0
513,0.93,1,True,2.15
514,1.38,2,True,2.14
515,0.46,3,True,2.14
516,0.12,4,True,2.14
517,0.35,1,True,2.14
518,0.73,2,True,2.14
519,0.2,3,True,2.14
520,1.22,4,False,0
521,0.16,1,True,2.14
522,0.64,2,True,2.15
523,1.18,3,True,2.14
524,0.62,4,False,0
525,0.17,1,True,2.14
526,0.62,2,True,2.15
527,0.66,3,True,2.14
528,0.99,4,False,0
529,1.66,1,True,2.14
530,0.6,2,True,2.15
531,1.57,3,True,2.15
532,0.28,4,True,2.14
533,0.86,1,True,2.15
534,0.05,2,True,2.14
535,0.9,3,True,2.14
536,0.41,4,True,2.15
537,0.18,1,True,2.15
538,0.13,2,True,2.14
539,0.14,3,True,2.15
540,0.08,4,True,2.14
541,0.15,1,True,2.14
542,0.85,2,True,2.13
543,0.17,3,True,2.14
544,1.06,4,False,0
545,0.27,1,True,2.15
546,0.31,2,True,2.14
547,0.75,3,True,2.15
548,1.79,4,False,0
549,0.83,1,True,2.15
550,0.44,2,True,2.14
551,0.11,3,True,2.15
552,0.07,4,True,2.14
553,0.66,1,True,2.15
554,0.19,2,True,2.14
555,0.47,3,True,2.14
556,0.91,4,False,0
557,1.65,1,True,2.15
558,0.01,2,True,2.14
559,0.94,3,True,2.14
560,0.53,4,False,0
561,1.41,1,True,2.14
562,0.03,2,True,2.15
563,0.14,3,True,2.15
564,1.25,4,False,0
565,0.51,1,True,2.14
566,0.14,2,True,2.14
567,0.25,3,True,2.14
568,0.43,4,True,2.15
569,0.01,1,True,2.14
570,0.37,2,True,2.14
571,0.32,3,True,2.15
572,1.28,4,False,0
573,0.03,1,True,2.14
574,0.54,2,True,2.15
575,0.41,3,True,2.15
576,0.25,4,True,2.15
577,0.56,1,True,2.14
578,0.78,2,True,2.15
579,0.09,3,True,2.14
580,0.79,4,False,0
581,1.37,1,True,2.15
582,0.46,2,True,2.14
583,0.8,3,True,2.15
584,0.55,4,False,0
585,0.39,1,True,2.14
586,0.33,2,True,2.14
587,0.15,3,True,2.14
588,0.31,4,True,2.14
589,0.27,1,True,2.15
590,2.13,2,True,2.14
591,0.38,3,True,2.14
592,0.31,4,True,2.14
593,0.15,1,True,2.14
594,0.76,2,True,2.14
595,0.25,3,True,2.14
596,0.27,4,True,2.14
597,0.33,1,True,2.14
598,0.15,2,True,2.16
599,0.65,3,True,2.14
600,0.13,4,True,2.14
601,1.09,1,True,2.14
602,0.29,2,True,2.14
603,0.66,3,True,2.15
604,0.17,4,True,2.14
605,0.98,1,True,2.15
606,0.41,2,True,2.14
607,0.08,3,True,2.14
608,1.16,4,False,0
609,0.08,1,True,2.15
610,0.27,2,True,2.14
611,1.22,3,True,2.14
612,0.91,4,False,0
613,0.42,1,True,2.14
614,0.63,2,True,2.15
615,0.09,3,True,2.14
616,0.28,4,True,2.15
617,0.16,1,True,2.14
618,0.23,2,True,2.15
619,0.9,3,True,2.14
620,1.05,4,False,0
621,0.47,1,True,2.14
622,0.27,2,True,2.15
623,0.16,3,True,2.14
624,0.21,4,True,2.14
625,0.26,1,True,2.14
626,0.86,2,True,2.14
627,0.13,3,True,2.14
628,1.17,4,False,0
629,0.04,1,True,2.15
630,0.0,2,True,2.15
631,0.48,3,True,2.15
632,0.08,4,True,2.15
633,0.33,1,True,2.14
634,0.26,2,True,2.14
635,0.32,3,True,2.14
636,0.28,4,True,2.15
637,0.64,1,True,2.14
638,0.18,2,True,2.14
639,0.57,3,True,2.14
640,0.95,4,False,0
641,0.06,1,True,2.15
642,0.96,2,True,2.14
643,0.72,3,True,2.15
644,0.7,4,False,0
645,0.85,1,True,2.13
646,0.21,2,True,2.14
647,0.72,3,True,2.14
648,0.05,4,True,2.14
649,0.42,1,True,2.14
650,1.09,2,True,2.14
651,0.2,3,True,2.15
652,1.62,4,False,0
653,0.22,1,True,2.14
654,0.36,2,True,2.14
655,0.16,3,True,2.14
656,0.31,4,True,2.15
657,0.05,1,True,2.14
658,0.92,2,True,2.14
659,0.26,3,True,2.15
660,0.66,4,False,0
661,0.65,1,True,2.13
662,0.88,2,True,2.14
663,0.32,3,True,2.15
664,0.07,4,True,2.15
665,0.31,1,True,2.15
666,0.45,2,True,2.15
667,0.02,3,True,2.15
668,0.76,4,False,0
669,1.4,1,True,2.15
670,0.26,2,True,2.14
671,0.38,3,True,2.14
672,1.32,4,False,0
673,1.36,1,True,2.15
674,0.64,2,True,2.15
675,0.15,3,True,2.14
676,0.28,4,True,2.14
677,0.66,1,True,2.15
678,0.71,2,True,2.14
679,1.0,3,True,2.14
680,0.28,4,True,2.14
681,0.41,1,True,2.14
682,0.79,2,True,2.14
683,0.53,3,True,2.14
684,0.61,4,False,0
685,0.46,1,True,2.14
686,1.98,2,True,2.14
687,1.48,3,True,2.14
688,1.13,4,False,0
689,0.03,1,True,2.14
690,1.67,2,True,2.15
691,0.23,3,True,2.14
692,0.66,4,False,0
693,1.05,1,True,2.15
694,1.24,2,True,2.15
695,0.37,3,True,2.14
696,0.76,4,False,0
697,0.24,1,True,2.15
698,0.56,2,True,2.14
699,0.14,3,True,2.16
700,0.76,4,False,0
701,1.01,1,True,2.14
702,0.85,2,True,2.14
703,0.55,3,True,2.15
704,0.77,4,False,0
705,0.16,1,True,2.14
706,1.49,2,True,2.14
707,0.66,3,True,2.14
708,0.02,4,True,2.14
709,0.89,1,True,2.15
710,0.15,2,True,2.14
711,0.49,3,True,2.14
712,0.48,4,True,2.14
713,0.49,1,True,2.14
714,0.2,2,True,2.14
715,0.93,3,True,2.15
716,0.07,4,True,2.15
717,0.56,1,True,2.14
718,0.33,2,True,2.15
719,0.72,3,True,2.15
720,0.39,4,True,2.14
721,0.27,1,True,2.15
722,0.36,2,True,2.14
723,0.13,3,True,2.14
724,0.27,4,True,2.14
725,1.12,1,True,2.15
726,0.62,2,True,2.14
727,0.65,3,True,2.14
728,0.87,4,False,0
729,0.57,1,True,2.15
730,0.41,2,True,2.14
731,0.35,3,True,2.14
732,0.57,4,False,0
733,0.36,1,True,2.14
734,0.74,2,True,2.15
735,1.75,3,True,2.15
736,1.57,4,False,0
737,0.39,1,True,2.15
738,0.9,2,True,2.15
739,0.07,3,True,2.14
740,0.69,4,False,0
741,0.82,1,True,2.14
742,0.8,2,True,2.14
743,1.23,3,True,2.13
744,0.09,4,True,2.16
745,0.54,1,True,2.15
746,0.39,2,True,2.15
747,0.01,3,True,2.14
748,0.5,4,True,2.15
749,1.28,1,True,2.14
750,0.21,2,True,2.14
751,0.54,3,True,2.15
752,1.16,4,False,0
753,0.31,1,True,2.14
754,1.19,2,True,2.14
755,0.01,3,True,2.14
756,0.57,4,False,0
757,0.47,1,True,2.14
758,0.5,2,True,2.14
759,0.03,3,True,2.15
760,1.1,4,False,0
761,0.32,1,True,2.15
762,0.19,2,True,2.15
763,0.51,3,True,2.15
764,0.02,4,True,2.14
765,0.5,1,True,2.14
766,0.77,2,True,2.14
767,0.07,3,True,2.14
768,0.01,4,True,2.15
769,1.29,1,True,2.14
770,0.15,2,True,2.14
771,0.35,3,True,2.14
772,0.01,4,True,2.14
773,0.64,1,True,2.14
774,0.13,2,True,2.14
775,0.26,3,True,2.14
776,1.25,4,False,0
777,0.04,1,True,2.14
778,0.22,2,True,2.15
779,1.14,3,True,2.14
780,0.05,4,True,2.14
781,1.04,1,True,2.14
782,0.36,2,True,2.14
783,0.43,3,True,2.14
784,0.94,4,False,0
785,0.33,1,True,2.14
786,0.1,2,True,2.15
787,0.37,3,True,2.15
788,0.3,4,True,2.14
789,0.95,1,True,2.15
790,0.03,2,True,2.14
791,0.53,3,True,2.15
792,0.04,4,True,2.16
793,0.63,1,True,2.14
794,0.92,2,True,2.14
795,0.6,3,True,2.15
796,0.63,4,False,0
797,0.05,1,True,2.15
798,0.75,2,True,2.15
799,0.3,3,True,2.13
800,0.58,4,False,0
801,0.99,1,True,2.14
802,0.55,2,True,2.15
803,0.04,3,True,2.14
804,0.27,4,True,2.14
805,0.66,1,True,2.15
806,0.28,2,True,2.14
807,0.35,3,True,2.15
808,0.02,4,True,2.14
809,1.18,1,True,2.14
810,0.08,2,True,2.15
811,0.37,3,True,2.15
812,0.45,4,True,2.14
813,0.71,1,True,2.14
814,0.46,2,True,2.15
815,0.33,3,True,2.14
816,1.22,4,False,0
817,0.47,1,True,2.15
818,1.18,2,True,2.15
819,0.6,3,True,2.14
820,0.02,4,True,2.14
821,0.01,1,True,2.14
822,0.01,2,True,2.14
823,0.59,3,True,2.14
824,0.41,4,True,2.14
825,0.47,1,True,2.15
826,0.23,2,True,2.14
827,0.23,3,True,2.14
828,1.56,4,False,0
829,0.96,1,True,2.15
830,0.36,2,True,2.14
831,0.23,3,True,2.14
832,0.7,4,False,0
833,0.02,1,True,2.14
834,0.05,2,True,2.15
835,0.04,3,True,2.14
836,0.61,4,False,0
837,0.59,1,True,2.14
838,0.23,2,True,2.14
839,0.33,3,True,2.14
840,0.22,4,True,2.14
841,0.17,1,True,2.14
842,0.26,2,True,2.14
843,0.68,3,True,2.14
844,1.49,4,False,0
845,0.28,1,True,2.14
846,0.14,2,True,2.15
847,0.53,3,True,2.14
848,0.38,4,True,2.14
849,0.52,1,True,2.15
850,0.02,2,True,2.15
851,1.81,3,True,2.14
852,0.81,4,False,0
853,0.24,1,True,2.15
854,0.95,2,True,2.14
855,0.72,3,True,2.14
856,0.31,4,True,2.14
857,1.15,1,True,2.14
858,0.28,2,True,2.14
859,0.37,3,True,2.14
860,0.02,4,True,2.14
861,0.81,1,True,2.14
862,0.12,2,True,2.14
863,0.01,3,True,2.14
864,0.07,4,True,2.14
865,0.16,1,True,2.14
866,0.71,2,True,2.14
867,0.08,3,True,2.15
868,0.22,4,True,2.14
869,0.96,1,True,2.14
870,0.61,2,True,2.14
871,0.76,3,True,2.15
872,0.44,4,True,2.15
873,0.17,1,True,2.15
874,0.61,2,True,2.14
875,0.49,3,True,2.14
876,0.74,4,False,0
877,0.16,1,True,2.14
878,0.6,2,True,2.14
879,0.04,3,True,2.15
880,1.26,4,False,0
881,0.93,1,True,2.14
882,0.68,2,True,2.15
883,0.04,3,True,2.15
884,0.15,4,True,2.17
885,0.53,1,True,2.15
886,0.62,2,True,2.15
887,0.66,3,True,2.14
888,0.37,4,True,2.15
889,0.19,1,True,2.16
890,0.56,2,True,2.14
891,0.45,3,True,2.14
892,0.33,4,True,2.14
893,0.65,1,True,2.14
894,0.12,2,True,2.14
895,1.0,3,True,2.14
896,1.4,4,False,0
897,0.6,1,True,2.15
898,1.08,2,True,2.13
899,1.82,3,True,2.14
900,0.28,4,True,2.15
901,1.02,1,True,2.14
902,0.48,2,True,2.14
903,0.26,3,True,2.14
904,0.13,4,True,2.14
905,0.6,1,True,2.15
906,1.28,2,True,2.14
907,0.37,3,True,2.15
908,0.83,4,False,0
909,0.67,1,True,2.14
910,0.93,2,True,2.15
911,0.57,3,True,2.14
912,0.98,4,False,0
913,0.72,1,True,2.14
914,1.43,2,True,2.15
915,0.86,3,True,2.15
916,0.68,4,False,0
917,0.04,1,True,2.14
918,0.18,2,True,2.14
919,0.25,3,True,2.15
920,0.11,4,True,2.15
921,0.91,1,True,2.14
922,0.89,2,True,2.15
923,0.93,3,True,2.14
924,0.14,4,True,2.14
925,0.03,1,True,2.15
926,1.64,2,True,2.14
927,0.19,3,True,2.15
928,0.18,4,True,2.14
929,0.26,1,True,2.14
930,1.03,2,True,2.15
931,1.11,3,True,2.15
932,0.18,4,True,2.15
933,0.22,1,True,2.14
934,0.96,2,True,2.15
935,0.22,3,True,2.14
936,0.59,4,False,0
937,0.7,1,True,2.14
938,1.18,2,True,2.14
939,0.55,3,True,2.15
940,0.37,4,True,2.13
941,0.26,1,True,2.15
942,0.91,2,True,2.16
943,0.34,3,True,2.15
944,1.93,4,False,0
945,0.05,1,True,2.15
946,0.18,2,True,2.15
947,0.19,3,True,2.14
948,1.0,4,False,0
949,0.36,1,True,2.14
950,0.08,2,True,2.15
951,0.66,3,True,2.14
952,0.17,4,True,2.15
953,0.98,1,True,2.13
954,0.29,2,True,2.14
955,0.37,3,True,2.14
956,0.17,4,True,2.15
957,0.6,1,True,2.14
958,0.56,2,True,2.14
959,1.64,3,True,2.15
960,0.9,4,False,0
961,0.26,1,True,2.14
962,0.66,2,True,2.14
963,0.21,3,True,2.15
964,0.58,4,False,0
965,0.35,1,True,2.14
966,0.05,2,True,2.14
967,0.01,3,True,2.14
968,1.1,4,False,0
969,0.48,1,True,2.15
970,0.56,2,True,2.14
971,0.46,3,True,2.15
972,0.68,4,False,0
973,0.16,1,True,2.15
974,0.97,2,True,2.14
975,1.41,3,True,2.14
976,0.21,4,True,2.14
977,0.28,1,True,2.14
978,0.6,2,True,2.14
979,0.1,3,True,2.15
980,0.27,4,True,2.14
981,0.25,1,True,2.14
982,0.1,2,True,2.15
983,0.25,3,True,2.15
984,0.75,4,False,0
985,0.66,1,True,2.14
986,0.3,2,True,2.18
987,0.28,3,True,2.15
988,0.51,4,True,2.14
989,0.97,1,True,2.13
990,0.21,2,True,2.13
991,0.31,3,True,2.14
992,0.13,4,True,2.15
993,0.56,1,True,2.14
994,0.17,2,True,2.15
995,0.2,3,True,2.15
996,0.29,4,True,2.15
997,0.14,1,True,2.14
998,0.07,2,True,2.14
999,0.8,3,True,2.14
1000,0.25,4,True,2.15

Commit Percentage,88.9
Average Commit Time,2.14
